country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Portugal,37000,38300,37800,38300,40000,40900,41600,41600,42800,43600,43700,43700,43800,44700,45200,45600,46700,46600,46600,48300,49000,49000,49700,49300,49500,49600,50100,50900,51900,53100,54200,55200
Qatar,67500,74200,72200,72100,72800,74100,94400,103000,105000,110000,109000,109000,104000,109000,99400,102000,97700,94700,89800,93800,97900,95000,92700,90800,89300,88600,88100,88800,89500,90400,92700,94900
Romania,9520,8630,8740,9070,9740,10300,9710,9700,9780,10200,11000,12900,13800,15200,16300,17400,18600,20400,19500,19100,19800,19700,20700,21200,22300,23500,25100,26300,27200,27800,28500,29100
Russia,18700,15900,14900,13700,13400,13100,13800,13500,13600,14400,15100,15400,16600,17600,18400,19800,21000,22000,20700,21400,22100,22600,23000,23200,22700,22700,23100,23600,24100,24500,25000,25500
Rwanda,790,866,827,421,567,619,663,673,658,678,707,777,776,817,874,931,978,1060,1100,1150,1210,1280,1290,1330,1410,1460,1510,1580,1650,1730,1810,1900
Samoa,11300,11100,11500,11100,11900,12800,12700,13000,13200,14300,15300,15800,16300,16900,17500,17600,18900,19100,18000,18000,19300,19800,19200,19200,19400,20700,21200,21500,21900,22200,22600,23000
Sao Tome and Principe,3390,3370,3370,3400,3400,3390,3340,3340,3330,3270,3340,3400,3470,3500,3660,3880,3850,4040,3990,4120,4150,4140,4220,4360,4420,4470,4620,4770,4940,5130,5320,5500
Saudi Arabia,70200,70700,68000,66700,65500,66100,65600,66000,61800,62100,59400,55800,59300,61100,61600,60900,59300,60300,57200,56900,58800,57900,56200,55800,55300,54500,52800,52800,53100,53900,55300,56500
Senegal,3130,3070,3020,2930,3000,2990,3010,3110,3230,3250,3310,3240,3400,3540,3680,3700,3710,3670,3580,3550,3440,3430,3380,3360,3420,3540,3640,3770,3910,4040,4170,4300
Serbia,12000,8450,5780,6010,6320,6460,7030,7260,6400,6900,7330,8010,8550,9770,10700,11200,11500,11700,12000,12900,13700,13700,13500,12700,12800,12300,12400,12800,13200,13700,14200,14700
Sierra Leone,1230,995,1020,1000,922,938,878,884,849,882,789,955,994,987,1000,1040,1100,1150,1190,1230,1280,1460,1740,1790,1380,1430,1470,1530,1590,1680,1770,1870
Singapore,47700,49900,53900,57800,60100,63400,66200,64000,67200,70200,67300,70100,71000,75200,77600,80200,83700,81500,79100,87000,89800,90400,92900,93300,91300,94000,97700,99400,101000,103000,105000,107000
Slovak Republic,17100,18000,18700,20700,21600,22300,23800,24800,25600,26500,26900,28000,28500,30400,31700,33300,36100,37000,36100,38900,39600,40000,40600,41100,41600,41800,42600,43800,45000,46300,47500,48800
Slovenia,29400,28100,29400,31100,34300,35300,36400,37000,39600,41300,41700,42800,45300,44800,46400,48400,50400,51900,48400,49700,51500,50700,51000,52000,53100,54500,56900,59500,62000,64700,67300,70100
Solomon Islands,3450,3770,3780,4000,4190,4100,3890,3820,3670,3000,2660,2500,2600,2650,2730,2850,2990,3130,2890,3030,3360,3440,3450,3420,3460,3470,3520,3560,3610,3680,3750,3820
Somalia,1060,1010,975,943,978,1010,1060,1070,1080,1080,1100,1130,1130,1160,1190,1220,1250,1270,1300,1340,1370,1340,1320,1310,1290,1280,1260,1260,1250,1250,1250,1250
South Africa,21900,20700,20300,20300,19600,20900,21500,21700,21800,21600,22400,23400,23600,23300,23700,24100,24700,24500,25000,26500,27000,26900,26800,26800,26200,26300,26600,26800,27100,27300,27600,27900
South Korea,20800,21700,22900,24200,25800,27300,28300,28400,30900,32300,33100,34600,35700,36700,37900,39400,41100,42100,42700,45000,46000,46300,47000,47500,48400,49300,50700,51900,53100,54300,55600,57000
South Sudan,2070,1960,3380,3270,3370,3460,3620,3640,3650,3660,3700,3800,3800,3890,3980,4050,4160,4220,4240,4280,3940,2060,2220,2230,2020,1680,1450,1340,1270,1200,1150,1100
Spain,66900,68500,70800,73200,73300,73500,73500,73600,72500,72400,72300,71700,71400,71200,69700,70000,70900,72300,74300,75400,76100,77400,78100,78300,78800,79200,79600,79900,81200,82900,84600,86200
Sri Lanka,3510,3740,3900,4000,4270,4310,4470,4280,4510,4740,4630,4820,5030,5270,5510,5820,6150,6440,6690,7240,7770,8540,8570,9080,9520,9850,10300,10800,11300,11900,12500,13200
St. Lucia,18100,19000,18800,18700,18500,18600,19000,20100,19300,18400,16600,17700,18400,18900,17700,17700,17000,17000,17100,17600,16900,16400,16800,16700,17100,16400,16200,16300,16600,17000,17500,18100
St. Vincent and the Grenadines,11200,11600,12000,11700,12400,12400,12700,13000,13200,13300,13300,13800,14500,14900,15000,15800,15400,16200,15700,15100,14900,14900,15000,15200,15300,15600,16000,16400,16800,17300,17900,18500
Sudan,4290,4380,4350,4210,4270,4370,4740,4840,4900,5100,5310,5530,5820,5920,6230,6740,7400,7860,8010,8090,7770,7620,7740,7730,7900,8040,8120,8070,8140,8250,8350,8460
Suriname,24100,22400,20100,19700,18600,18900,19400,19300,19400,18800,19000,19400,20000,21200,21800,22100,22700,23200,23400,23700,24500,24500,24400,24700,23800,21100,20900,21100,21700,22500,23300,24100
Swaziland,12300,12300,12400,12400,12700,12800,13000,13100,13200,13200,13200,13700,14200,14600,15400,16100,16500,16100,15800,15800,15600,15700,16200,16300,15900,15000,15000,14700,14500,14400,14300,14400
Sweden,69300,71600,74500,78300,79900,81800,85400,87800,90000,92800,91900,93600,96200,101000,103000,107000,108000,106000,102000,108000,109000,108000,108000,110000,113000,115000,117000,119000,121000,123000,124000,126000
Switzerland,113000,113000,114000,116000,115000,115000,118000,119000,120000,125000,125000,124000,125000,128000,131000,133000,136000,135000,132000,137000,136000,136000,136000,137000,136000,136000,136000,138000,140000,141000,142000,144000
Syria,2800,3100,3230,3280,3320,3340,3240,3340,3120,3150,3280,3410,3230,3430,3600,3660,3790,3900,4030,4100,4200,3390,2680,2800,2780,2700,2590,2580,2540,2580,2540,2480
Tajikistan,3940,2730,2240,1750,1500,1260,1270,1300,1320,1390,1480,1590,1710,1820,1870,1930,2010,2100,2130,2200,2290,2390,2500,2600,2690,2830,2910,3010,3130,3250,3390,3540
Tanzania,1090,1060,1040,1020,1030,1050,1060,1070,1090,1120,1150,1180,1230,1300,1360,1390,1450,1480,1490,1540,1620,1640,1700,1750,1810,1880,1940,2010,2090,2170,2240,2310
Thailand,5190,5450,5830,6200,6560,6760,6430,6030,6240,6350,6450,6700,7080,7420,7610,7950,8250,8300,8220,8730,8640,9250,9630,9740,10200,10500,10900,11300,11600,12000,12400,12800
Timor-Leste,2870,2820,2770,2750,2810,2900,3040,2990,1960,2430,2810,2600,2510,2510,2660,2480,2770,3160,3580,3890,4170,4350,4380,4540,4650,4800,4800,4800,4790,4820,4830,4840
Togo,1210,1140,941,1060,1110,1170,1290,1210,1200,1150,1100,1060,1080,1070,1050,1060,1060,1060,1080,1100,1130,1150,1170,1200,1230,1260,1290,1340,1380,1430,1470,1520
Tonga,7930,7790,7950,8230,8580,8600,8570,8780,9120,9430,9650,9900,10100,9820,9790,9420,8920,9130,9280,9560,9790,9830,9460,9610,9920,10100,10400,10600,10900,11000,11100,11200
Trinidad and Tobago,22200,21100,20100,19900,19900,20500,21300,22300,23500,24400,24700,26100,28900,29500,30300,33400,34600,35200,34100,35100,34400,34900,35300,34800,34800,32900,33900,35200,36500,37300,37900,38600
Tunisia,8780,9200,9110,9100,9040,9400,9660,9950,10400,10700,10800,10900,11100,11600,11700,12000,12400,12700,13200,13300,13600,13700,13700,13900,14000,14100,14200,14400,14600,14900,15300,15800
Turkey,20000,20900,23800,21000,22100,23200,25000,25000,23800,26000,24600,26400,28100,31000,33000,34700,35900,35400,33600,34300,35800,36600,38400,39700,40800,40800,43300,44200,45200,46300,47600,49000
Turkmenistan,9620,7880,7730,6190,5560,5830,5040,5250,5970,6140,6240,6130,6210,6390,7050,7660,8280,9240,9570,10200,11400,12400,13400,14600,15200,16000,16800,17500,18400,19200,20100,21100
Uganda,862,866,914,946,1030,1090,1120,1140,1200,1200,1230,1300,1330,1360,1390,1490,1560,1650,1700,1720,1810,1810,1770,1800,1820,1840,1890,1940,2000,2060,2130,2180
Ukraine,8200,7400,6330,4880,4290,4000,4000,4100,4190,4390,4850,5060,5530,6210,6320,6790,7320,7520,6600,6840,7220,7300,7240,7130,6440,6670,6910,7160,7450,7720,8020,8330
United Arab Emirates,128000,123000,116000,115000,115000,116000,120000,114000,110000,114000,108000,103000,102000,99700,90700,85200,74400,66200,55500,51100,51800,53100,55500,56900,58400,60000,60800,61900,63700,65100,67400,69500
United Kingdom,61400,62800,65300,67400,68500,69500,70400,71700,73200,75000,76400,77700,79600,80700,82000,83300,84600,83100,80400,81600,82600,82600,83200,83800,84400,84900,85500,85900,86900,88200,89800,91500
United States,74900,77200,78200,79400,80100,81800,83600,85600,88100,90300,91200,93400,95800,98300,99900,101000,102000,102000,103000,106000,106000,107000,108000,108000,109000,109000,111000,113000,116000,117000,119000,121000
Uruguay,17400,18300,18700,19600,19100,20400,21800,22200,21900,21800,21000,20000,20200,20300,21500,21500,22300,23200,23800,25300,26100,27100,28400,28900,29400,29800,30500,31300,32200,33100,34100,35000
Uzbekistan,2810,2430,2320,2140,2070,2090,2140,2170,2200,2220,2250,2270,2310,2420,2510,2620,2800,2960,3120,3290,3480,3670,3870,4070,4310,4560,4750,4960,5210,5460,5750,6060
Vanuatu,6860,6800,6620,7040,6900,6900,7100,7260,7120,7380,6880,6290,6360,6400,6550,6890,7030,7290,7320,7210,7110,7020,6940,6900,6650,6740,6870,7010,7110,7210,7310,7430
Venezuela,36400,36600,35100,34000,34900,34400,35200,34300,32700,32400,32300,30000,27200,30000,31100,32400,34000,34800,33400,32500,33000,34300,34100,32100,29900,26900,24300,22400,22000,22600,23400,24100
Vietnam,935,991,1050,1110,1190,1270,1350,1390,1420,1480,1540,1590,1670,1760,1850,1950,2050,2120,2200,2290,2370,2440,2540,2640,2790,2950,3110,3280,3470,3660,3850,4050
Yemen,5000,5090,4960,4990,4990,5020,5090,5210,5210,5510,5670,5840,5990,6140,6310,6330,6350,6380,6430,7010,5960,5890,5990,5830,4010,3470,2930,2840,2750,2960,3060,3160
Zambia,2970,2860,2990,2620,2590,2600,2580,2450,2510,2540,2590,2620,2720,2810,2920,3070,3230,3390,3720,4140,4130,4200,4260,4310,4280,4270,4300,4360,4440,4520,4620,4720
Zimbabwe,3410,3010,2980,3180,3130,3400,3460,3520,3460,3170,3060,2650,2100,1900,1770,1680,1590,1290,1380,1560,1770,1970,2020,2020,2000,1960,1950,1910,1870,1810,1760,1740
