country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chad,1520,1600,1310,1400,1370,1360,1390,1440,1380,1320,1430,1490,1650,2130,2410,2340,2340,2330,2350,2580,2490,2620,2670,2760,2710,2430,2360,2390,2460,2510,2530,2560
Chile,17600,18700,19100,20000,21500,23100,24100,24600,25000,26300,26600,27100,27400,28200,29300,30200,30100,30500,30300,29800,30200,31200,31900,32100,32300,32600,32900,33800,34500,35200,35800,36500
China,1420,1590,1780,1990,2190,2370,2560,2750,2930,3140,3380,3650,3980,4340,4790,5370,6080,6680,7280,8030,8770,9450,10200,10900,11600,12400,13300,14200,15200,16100,17100,18100
Colombia,14000,14200,13800,14100,14400,14600,14600,14600,14300,14400,13200,13200,13000,13200,13000,13600,13800,13900,13800,13800,14200,14300,14700,15000,15200,15400,15600,15800,16200,16600,17000,17500
Comoros,3630,3830,3820,3500,3520,3370,3410,3350,3320,3580,3570,3550,3520,3490,3480,3470,3400,3310,3270,3240,3230,3230,3240,3210,3140,3120,3140,3180,3230,3290,3340,3400
"Congo, Dem. Rep.",1550,1340,1110,1030,1010,970,893,859,803,728,694,695,712,737,759,775,798,821,817,847,877,910,955,1010,1050,1040,1030,1040,1050,1070,1090,1120
"Congo, Rep.",8770,8740,8370,7650,7740,7830,7510,7570,7100,7450,7490,7610,7420,7450,7780,7890,7360,7440,7650,7910,7820,7650,7730,8080,8090,7720,7290,7330,7070,6930,6820,6720
Costa Rica,13700,14500,14900,15000,15100,15500,15200,15300,15600,15900,15700,15900,16100,16700,16400,17100,17700,18300,18500,19700,20000,20700,20500,20500,21500,23000,23200,23700,24300,25000,25700,26400
Cote d'Ivoire,4030,3880,3710,3590,3670,3840,3870,3950,3920,3760,3720,3620,3540,3540,3570,3570,3590,3620,3680,3690,3460,3760,4010,4270,4570,4870,5090,5310,5540,5770,5950,6130
Croatia,21700,19400,18100,19700,21300,22600,24400,25600,26300,28400,29500,31300,32500,32900,33900,35300,36400,36600,34200,35000,36400,37000,37700,36500,36400,37300,37800,38100,39000,40100,41100,42200
Cuba,10700,9270,7800,7720,7810,8240,8360,8250,8700,9060,9140,9110,9260,9650,10500,11500,12100,12400,12300,12700,13100,13500,13800,13900,14400,14600,15000,15400,15800,16300,16900,17400
Cyprus,36100,38400,38100,39000,41700,41700,41500,42800,44000,44800,44000,44200,43900,44700,46000,46500,47100,47800,46700,46600,47500,47800,46800,45300,45500,45200,45700,46500,47400,48100,49000,49600
Czech Republic,26100,26000,26000,26500,27900,29100,29100,29400,30500,32100,32900,33100,34500,36500,38300,40500,41900,42600,41100,42300,43000,42400,41800,42600,43900,44100,45800,47100,48800,50100,51300,52600
Denmark,88900,90500,92800,97500,97800,100000,101000,103000,105000,109000,110000,109000,112000,113000,115000,117000,118000,116000,114000,119000,120000,121000,122000,123000,124000,122000,124000,126000,128000,131000,133000,135000
Djibouti,4490,4420,4070,3980,3780,3520,3380,3280,3240,3150,3140,3140,3170,3220,3260,3340,3430,3540,3630,3670,3740,3820,3910,4040,4200,4410,4640,4880,5140,5370,5610,5860
Dominican Republic,6990,7490,7840,7840,8060,8430,8870,9260,9650,9970,9920,10300,10000,9950,10600,11400,12000,12400,12600,13100,13100,13300,13700,14300,14900,15900,16400,17000,17600,18200,18800,19400
Ecuador,10100,10400,10200,10100,9980,10200,10200,10200,9820,9120,9470,9470,9610,9810,9980,10000,9960,10600,10500,10800,11400,11700,12100,12400,11800,11200,11300,11400,11500,11700,11900,12100
Egypt,6190,6270,6410,6370,6680,6710,6920,7060,7040,7330,7470,7570,7590,7540,7670,7870,7890,8190,8380,8820,8870,8940,8980,9190,9560,9770,9920,10200,10400,10700,11000,11400
El Salvador,6460,6790,7210,7220,7640,7840,8120,8000,8170,8350,8480,8550,8490,8720,8980,9060,9190,9160,8910,8710,8690,8640,8600,8700,8830,9020,9130,9230,9330,9420,9510,9600
Equatorial Guinea,1480,1950,2080,2350,2660,4320,10500,12400,14900,17000,26800,30500,33100,43800,48400,49700,54800,61400,58600,50100,51300,53100,48300,45700,39300,34200,31200,29400,28000,26700,26200,25800
Eritrea,965,912,1050,1300,1350,1450,1530,1520,1470,1370,1430,1420,1320,1290,1280,1230,1220,1080,1100,1100,1180,1230,1240,1270,1310,1330,1340,1360,1380,1400,1420,1450
Estonia,17500,14600,14600,14900,16600,17700,19700,20600,21200,24000,25800,27000,28400,29900,32100,33600,35700,33800,31900,34200,34800,35400,35600,36300,36000,36400,37900,39300,41000,42900,44900,47000
Ethiopia,459,405,443,441,454,498,500,471,485,491,510,495,463,505,541,581,628,674,710,773,831,871,931,994,1060,1110,1170,1230,1280,1330,1380,1440
Fiji,8050,8380,8450,8710,8730,9090,8860,8960,9750,9590,9670,9890,9920,9960,9910,10300,10400,10300,9880,9950,10000,10100,10300,10600,11000,11000,11400,11800,12200,12800,13400,13900
